一次性工亡补助金（含生活困难，预支50%确认）、丧葬补助金申领,39aec6aa-27e0-4c17-a4fc-96a1408586ab,https://zwykb.cq.gov.cn/qxzz/jbq/bszn/?rowGuid=39aec6aa-27e0-4c17-a4fc-96a1408586ab
物业专项维修资金的查询,ebde1dab-3c6c-48c8-8feb-943f70146fa2,https://zwykb.cq.gov.cn/qxzz/jbq/bszn/?rowGuid=ebde1dab-3c6c-48c8-8feb-943f70146fa2
退役军人职业技能培训资格审核,57d4bdfc-164d-4402-a0f6-a30032fd46e2,https://zwykb.cq.gov.cn/qxzz/jbq/bszn/?rowGuid=57d4bdfc-164d-4402-a0f6-a30032fd46e2
工伤复发申请确认,1184ea07-b7be-49dd-93ea-f16205e70b4b,https://zwykb.cq.gov.cn/qxzz/jbq/bszn/?rowGuid=1184ea07-b7be-49dd-93ea-f16205e70b4b
社保待遇资格认证,d659d52a-ac01-4e4c-95ff-fb93efb123dc,https://zwykb.cq.gov.cn/qxzz/jbq/bszn/?rowGuid=d659d52a-ac01-4e4c-95ff-fb93efb123dc
企业经济性裁员报告,cc684e75-7089-4692-ab50-d52528918be0,https://zwykb.cq.gov.cn/qxzz/jbq/bszn/?rowGuid=cc684e75-7089-4692-ab50-d52528918be0
科技成果登记,21e98ff2-7f54-4583-8c73-a16b47450fc2,https://zwykb.cq.gov.cn/qxzz/jbq/bszn/?rowGuid=21e98ff2-7f54-4583-8c73-a16b47450fc2
税务证件增补发,89678b13-1887-4f7a-8408-efdc18215aab,https://zwykb.cq.gov.cn/qxzz/jbq/bszn/?rowGuid=89678b13-1887-4f7a-8408-efdc18215aab
对就业困难人员（含建档立卡贫困劳动力）实施就业援助中的职业介绍补贴申领,d0d668da-f088-49e6-8817-2f5e499f3dd4,https://zwykb.cq.gov.cn/qxzz/jbq/bszn/?rowGuid=d0d668da-f088-49e6-8817-2f5e499f3dd4
工伤保险待遇变更,fec35138-bc8b-49e5-8ef0-49410bb53646,https://zwykb.cq.gov.cn/qxzz/jbq/bszn/?rowGuid=fec35138-bc8b-49e5-8ef0-49410bb53646
